"location","source","target"
"LO1.1.01","Acknowledge the benefits of using different digital search tools and methods, depending on one’s purpose.",""
"LO1.1.02","Recognise that the results or outputs of a search depend on the digital search tool used and the way that an individual specifies the search.",""
"LO1.1.03","Recognise that search results or outputs can contain information that may not be relevant.",""
"LO1.1.04","Identify the main features of commonly-used AI-driven and traditional digital search tools.",""
"LO1.1.05","Use digital search tools to implement basic information searches.",""
"LO1.1.06","Use digital search tools to refine or update existing results or outputs.",""
"LO1.1.07","Purposefully explore new digital search tools and search functionalities.",""
"LO1.1.08","Identify strategies that provide more relevant digital search results or outputs.",""
"LO1.1.09","Distinguish between more and less relevant digital search results or outputs.",""
"LO1.1.10","Select appropriate digital search tools based on information needs.",""
"LO1.1.11","Translate information needs into effective digital search queries, commands or statements.",""
"LO1.1.12","Apply appropriate strategies to refine or filter existing digital results or outputs.",""
"LO1.1.13","Continually explore functions and features of familiar and novel digital search tools.",""
"LO1.1.14","Prioritise deepening one's existing search capabilities.",""
"LO1.1.15","Combine a variety of digital search tools and strategies to address complex information needs.",""
"LO1.1.16","Assist others in developing their digital search capabilities.",""
"LO1.1.17","Stay informed about developments in digital search technologies.",""
"LO1.1.18","Assess and evaluate developments in digital search technologies in a given context to support decision-making.",""
"LO1.1.19","Combine a variety of digital search tools and strategies to address highly complex or specialised information needs.",""
"LO1.1.20","Assist others to implement and refine complex or specialised searches in digital environments.",""
"LO1.1.21","Contribute to improvements in or new solutions for complex or specialised searches in digital environments.",""
"LO1.2.01","Acknowledge the benefits of a cautious approach in interpreting information and content in digital environments.",""
"LO1.2.02","Distinguish between the source of digital content, and digital content itself.",""
"LO1.2.03","Recognise that some digital information sources and systems may not be trustworthy.",""
"LO1.2.04","Recognise that it can be difficult to distinguish between information and content generated by humans and AI systems.",""
"LO1.2.05","Recognise examples of misinformation, disinformation, and sources of bias.",""
"LO1.2.06","Recognise examples of social media influencing and filter bubbles.",""
