"location","source","target"
"level.4.0.name","Basic",""
"level.4.0.description","At basic level, individuals remember and implement simple tasks with guidance as needed.",""
"level.4.0.purpose","To support personal, learning and/or working goals and participate in society.",""
"level.4.1.name","Intermediate",""
"level.4.1.description","At intermediate level, individuals identify and implement well-defined tasks and solve well-defined problems autonomously.",""
"level.4.1.purpose","To support personal, learning and/or working goals and participate autonomously in society.",""
"level.4.2.name","Advanced",""
"level.4.2.description","At advanced level, individuals assess and apply solutions to a variety of complex tasks autonomously and adapt to a variety of contexts to evaluate and execute tasks appropriately, guiding others if and as required.",""
"level.4.2.purpose","To support personal, learning and/or working goals, participate effectively in society, and manage or support others in achieving their goals.",""
"level.4.3.name","Highly advanced",""
"level.4.3.description","At highly advanced level, individuals assess, evaluate and resolve highly complex or specialised problems to create new solutions or adapt existing ones, leading and guiding others if and as required.",""
"level.4.3.purpose","To support personal, learning and/or working goals, help others to participate effectively in society, lead or support others to achieve complex goals, and/or lead or contribute to improvements in or new solutions for highly complex problems.",""
"level.8.eqf1.description","At the bottom of the Basic level, individuals require guidance to recognise and implement many or most simple tasks.",""
"level.8.eqf2.description","At the top of the Basic level, individuals remember and implement simple tasks with little or no guidance.",""
"level.8.eqf3.description","At the bottom of the Intermediate level, individuals show some autonomy to identify and implement well-defined tasks and solve well-defined problems.",""
"level.8.eqf4.description","At the top of the Intermediate level, individuals confidently and autonomously identify and implement well-defined tasks and solve well-defined problems.",""
"level.8.eqf5.description","At the bottom of the Advanced level, individuals assess and apply solutions to a variety of well-defined tasks and engage with some complex tasks. They identify situations where approaches may need to be adapted, and guide others on well-defined tasks if and as required.",""
"level.8.eqf6.description","At the top of the Advanced level, individuals work confidently on a variety of complex tasks, respond effectively to challenges in changing contexts, and lead or manage complex projects, guiding others on complex tasks if and as required.",""
"level.8.eqf7.description","At the bottom of the Highly Advanced level, individuals assess highly complex or specialised problems and may contribute to new solutions or adapt existing ones, leading and guiding others if and as required.",""
"level.8.eqf8.description","At the top of the Highly Advanced level, individuals lead and guide others on the creation of solutions to highly complex or specialised problems.",""
